set;id;numero;nome;url;pagina;status;erro
smp;smp-SM01;SM01;Rowlet;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_001_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/1;baixado;
smp;smp-SM02;SM02;Litten;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_002_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/2;baixado;
smp;smp-SM03;SM03;Popplio;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_003_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/3;baixado;
smp;smp-SM05;SM05;Snorlax GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_005_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/5;baixado;
smp;smp-SM06;SM06;Rockruff;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_006_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/6;baixado;
smp;smp-SM07;SM07;Pikipek;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_007_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/7;baixado;
smp;smp-SM08;SM08;Litten;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_008_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/8;baixado;
smp;smp-SM09;SM09;Togedemaru;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_009_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/9;baixado;
smp;smp-SM10;SM10;Shiinotic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_010_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/10;baixado;
smp;smp-SM100;SM100;Lucario GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_100_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/100;baixado;
smp;smp-SM101;SM101;Necrozma Asas Alvorada GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_101_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/101;baixado;
smp;smp-SM102;SM102;Necrozma Juba Crepúsculo GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_102_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/102;baixado;
smp;smp-SM103;SM103;Lunala GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_103_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/103;baixado;
smp;smp-SM104;SM104;Solgaleo GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_104_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/104;baixado;
smp;smp-SM105;SM105;Lycanroc;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_105_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/105;baixado;
