set;id;numero;nome;url;pagina;status;erro;problema_local
swshp;swshp-SWSH074;SWSH074;Special Delivery Pikachu;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH193;SWSH193;Obstagoon de Galar;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH249;SWSH249;Kleavor V-ASTRO;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH251;SWSH251;Ordens da Chefia;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_251_R_PT.png;https://limitlesstcg.com/cards/pt/SP/251;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_251_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH292;SWSH292;Zacian V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH293;SWSH293;Zamazenta V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH295;SWSH295;Virizion V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH299;SWSH299;Jirachi V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH300;SWSH300;Unown V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH302;SWSH302;Klara;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_302_R_PT.png;https://limitlesstcg.com/cards/pt/SP/302;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_302_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
swsh7;swsh7-237;237;Energia de Metal;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVS/EVS_237_R_PT.png;https://limitlesstcg.com/cards/pt/EVS/237;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVS/EVS_237_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
swsh10;swsh10-164;164;Virizion V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swsh10;swsh10-170;170;Jirachi V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swsh10;swsh10-196;196;Kleavor V-ASTRO;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
