set;id;numero;nome;url;pagina;status;erro;problema_local
swshp;swshp-SWSH075;SWSH075;Special Delivery Charizard;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH193;SWSH193;Galarian Obstagoon;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH292;SWSH292;Zacian V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH293;SWSH293;Zamazenta V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH299;SWSH299;Jirachi V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH300;SWSH300;Unown V;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH301;SWSH301;Lugia V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_301_R_EN.png;https://limitlesstcg.com/cards/en/SP/301;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_301_R_EN_LG.png;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH303;SWSH303;Bulbasaur;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH304;SWSH304;Arcanine;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
swshp;swshp-SWSH305;SWSH305;Greninja;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
fut2020;fut2020-1;1;Pikachu on the Ball;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
fut2020;fut2020-2;2;Eevee on the Ball;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
fut2020;fut2020-3;3;Grookey on the Ball;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
fut2020;fut2020-4;4;Scorbunny on the Ball;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
fut2020;fut2020-5;5;Sobble on the Ball;;;sem_correspondencia;;"high: arquivo ausente; low: arquivo ausente"
